product,smoker,issue_age,rate_2022,rate_2025,increase
LTA,False,25,0.715094781292635,0.7644759164082608,0.06905537057110456
LTA,False,26,0.7309609359335794,0.780226064852313,0.06739775889092159
LTA,False,27,0.7493782703058249,0.7985492146199501,0.06561565268506953
LTA,False,28,0.7705664239313166,0.8196589767745651,0.06370969629429934
LTA,False,29,0.7953181851596312,0.8444144319168122,0.061731578220265204
LTA,False,30,0.8239557257963714,0.8731482438609726,0.05970286572989769
LTA,False,31,0.8568299679022442,0.9062982385547612,0.05773405752092087
LTA,False,32,0.8944958608936059,0.9442595092341077,0.05563317899625342
LTA,False,33,0.937315117249342,0.9875147861589709,0.053556875362199996
LTA,False,34,0.9861247163412827,1.036862479314722,0.0514516694822198
LTA,False,35,1.0415054346508932,1.0930002744459382,0.049442699079439434
LTA,False,36,1.104534461528957,1.1568620911091958,0.047375280177138324
LTA,False,37,1.1760956920249381,1.2296619765380743,0.0455458555595154
LTA,False,38,1.2575963086116075,1.3123818336034399,0.043563681458572256
LTA,False,39,1.3498623220108148,1.4062036923625065,0.041738605065858136
LTA,False,40,1.4547531122034218,1.5133512633566428,0.040280478289863364
LTA,False,41,1.5736981651148139,1.6344102563641598,0.038579247657009486
LTA,False,42,1.7079858036188686,1.7711623308857096,0.036988906543006905
LTA,False,43,1.8596666955571184,1.9254679249176456,0.03538334558430889
LTA,False,44,2.030928515698361,2.0996848289756436,0.033854620064576624
LTA,False,45,2.223943284906447,2.2959928114685764,0.03239719603063529
LTA,False,46,2.441695237837875,2.517667162916398,0.031114417516658
LTA,False,47,2.6871047891682784,2.7674762246318165,0.029910048833047265
LTA,False,48,2.9636376708936334,3.0487956199641855,0.028734264619086902
LTA,False,49,3.2752006552916657,3.3655979490342984,0.027600536045502944
LTA,False,50,3.625912880733531,3.722139678177351,0.02653864022909258
LTA,False,51,4.020286183222517,4.12296684886118,0.02554063590477007
LTA,False,52,4.463616125398264,4.573439086380948,0.024604033567712902
LTA,False,53,4.961695243898017,5.079411452390974,0.02372499774905079
LTA,False,54,5.520593877464998,5.646983549390638,0.0228942165881032
LTA,False,55,6.147196109198765,6.283081241963365,0.02210522168981388
LTA,True,25,0.9438210429895856,0.9978029979975153,0.05719511702869018
LTA,True,26,0.976867791758248,1.0308016056873546,0.055210965479813856
LTA,True,27,1.0162883706111239,1.0702446728195893,0.053091527728512666
LTA,True,28,1.0627971719158578,1.1169495013469461,0.05095264728026172
