product,smoker,issue_age,rate_per_1000,reference_sa,reference_premium
LTA,False,25,0.715094781292635,250000.0,238.77369532315876
LTA,False,26,0.7309609359335794,250000.0,242.74023398339483
LTA,False,27,0.7493782703058249,250000.0,247.34456757645623
LTA,False,28,0.7705664239313166,250000.0,252.64160598282913
LTA,False,29,0.7953181851596312,250000.0,258.8295462899078
LTA,False,30,0.8239557257963714,250000.0,265.9889314490929
LTA,False,31,0.8568299679022442,250000.0,274.2074919755611
LTA,False,32,0.8944958608936059,250000.0,283.62396522340146
LTA,False,33,0.937315117249342,250000.0,294.32877931233554
LTA,False,34,0.9861247163412827,250000.0,306.5311790853207
LTA,False,35,1.0415054346508932,250000.0,320.3763586627233
LTA,False,36,1.104534461528957,250000.0,336.1336153822392
LTA,False,37,1.1760956920249381,250000.0,354.0239230062345
LTA,False,38,1.2575963086116075,250000.0,374.3990771529019
LTA,False,39,1.3498623220108148,250000.0,397.46558050270374
LTA,False,40,1.4547531122034218,250000.0,423.68827805085544
LTA,False,41,1.5736981651148139,250000.0,453.4245412787035
LTA,False,42,1.7079858036188686,250000.0,486.99645090471716
LTA,False,43,1.8596666955571184,250000.0,524.9166738892795
LTA,False,44,2.030928515698361,250000.0,567.7321289245904
LTA,False,45,2.223943284906447,250000.0,615.9858212266117
LTA,False,46,2.441695237837875,250000.0,670.4238094594687
LTA,False,47,2.6871047891682784,250000.0,731.7761972920696
LTA,False,48,2.9636376708936334,250000.0,800.9094177234083
LTA,False,49,3.2752006552916657,250000.0,878.8001638229165
LTA,False,50,3.625912880733531,250000.0,966.4782201833827
LTA,False,51,4.020286183222517,250000.0,1065.0715458056293
LTA,False,52,4.463616125398264,250000.0,1175.9040313495661
LTA,False,53,4.961695243898017,250000.0,1300.4238109745042
LTA,False,54,5.520593877464998,250000.0,1440.1484693662496
LTA,False,55,6.147196109198765,250000.0,1596.7990272996913
LTA,True,25,0.9438210429895856,250000.0,295.9552607473964
LTA,True,26,0.976867791758248,250000.0,304.21694793956203
LTA,True,27,1.0162883706111239,250000.0,314.07209265278095
LTA,True,28,1.0627971719158578,250000.0,325.6992929789645
LTA,True,29,1.1177202418337868,250000.0,339.4300604584467
LTA,True,30,1.182000874935346,250000.0,355.5002187338365
LTA,True,31,1.2566796720837226,250000.0,374.16991802093065
LTA,True,32,1.3432586990830768,250000.0,395.8146747707692
LTA,True,33,1.4430567975779067,250000.0,420.76419939447663
LTA,True,34,1.5572618238590856,250000.0,449.3154559647714
LTA,True,35,1.6880452124038503,250000.0,482.0113031009626
LTA,True,36,1.837151491664942,250000.0,519.2878729162355
LTA,True,37,2.007428035297477,250000.0,561.8570088243692
LTA,True,38,2.2010013792402567,250000.0,610.2503448100642
LTA,True,39,2.420845094219371,250000.0,665.2112735548427
LTA,True,40,2.6701930069147446,250000.0,727.5482517286862
LTA,True,41,2.9523905001085704,250000.0,798.0976250271426
LTA,True,42,3.2710035954581698,250000.0,877.7508988645425
LTA,True,43,3.6299685001334736,250000.0,967.4921250333683
LTA,True,44,4.033568060006723,250000.0,1068.3920150016806
LTA,True,45,4.486401713188015,250000.0,1181.6004282970036
LTA,True,46,4.9937160069581354,250000.0,1308.4290017395338
LTA,True,47,5.560569278774831,250000.0,1450.1423196937076
LTA,True,48,6.1921003177888,250000.0,1608.0250794472
LTA,True,49,6.8941976971906005,250000.0,1783.5494242976501
LTA,True,50,7.672981943359453,250000.0,1978.2454858398632
LTA,True,51,8.534815890610183,250000.0,2193.703972652546
LTA,True,52,9.486081725471143,250000.0,2431.5204313677855
LTA,True,53,10.533501106465096,250000.0,2693.375276616274
LTA,True,54,11.683704226412535,250000.0,2980.9260566031335
LTA,True,55,12.943274850874756,250000.0,3295.818712718689
MP,False,25,0.5421622003090487,300000.0,222.6486600927146
MP,False,26,0.5505556835206966,300000.0,225.16670505620897
MP,False,27,0.560236844087748,300000.0,228.0710532263244
MP,False,28,0.571206138804456,300000.0,231.3618416413368
MP,False,29,0.5840505421502418,300000.0,235.21516264507252
MP,False,30,0.598844848908405,300000.0,239.65345467252146
MP,False,31,0.615659533765174,300000.0,244.6978601295522
MP,False,32,0.6345069020952089,300000.0,250.35207062856264
MP,False,33,0.6556913404901096,300000.0,256.7074021470329
MP,False,34,0.6793872466283607,300000.0,263.81617398850824
MP,False,35,0.7057813167722744,300000.0,271.7343950316823
MP,False,36,0.7354779105283799,300000.0,280.64337315851395
MP,False,37,0.7688369895365598,300000.0,290.6510968609679
MP,False,38,0.8063275269903277,300000.0,301.89825809709833
MP,False,39,0.8486724993136885,300000.0,314.6017497941066
MP,False,40,0.8962570995547304,300000.0,328.8771298664191
MP,False,41,0.9499139633357021,300000.0,344.9741890007106
MP,False,42,1.0103044026836443,300000.0,363.0913208050933
MP,False,43,1.078338664385496,300000.0,383.5015993156488
MP,False,44,1.1551470877072705,300000.0,406.5441263121811
MP,False,45,1.2418386510197328,300000.0,432.5515953059198
MP,False,46,1.3425123387829088,300000.0,462.75370163487264
MP,False,47,1.4574528658552335,300000.0,497.23585975657
MP,False,48,1.5876795958185372,300000.0,536.3038787455612
MP,False,49,1.7355198237959142,300000.0,580.6559471387743
MP,False,50,1.9023088351780633,300000.0,630.6926505534191
MP,False,51,2.0912545022676756,300000.0,687.3763506803027
